Age,Gender,AnnualIncome,SpendingScore,MaritalStatus,Purchased
25,Male,35000,60,Single,1
32,Female,48000,45,Married,0
28,Male,52000,75,Single,1
45,Female,65000,30,Married,0
35,Male,58000,85,Married,1
29,Female,42000,65,Single,1
50,Male,72000,25,Married,0
40,Female,61000,55,Married,1
27,Male,39000,70,Single,1
38,Female,56000,40,Married,0
31,Male,47000,80,Single,1
46,Female,68000,35,Married,0
36,Male,60000,90,Married,1
30,Female,45000,68,Single,1
55,Male,80000,20,Married,0
42,Female,63000,50,Married,1
24,Male,34000,72,Single,1
48,Female,70000,28,Married,0
33,Male,54000,78,Single,1
41,Female,62000,48,Married,0
